tds,pHmax,pHmin
0.028,7.8,6.2
0.029,7.8,6.2
0.031,7.9,6.1
0.033,7.9,6.1
0.036,7.9,6.1
0.038,7.9,6.1
0.042,8.0,6.0
0.045,8.0,6.0
0.05,8.1,5.9
0.055,8.1,5.9
0.063,8.2,5.8
0.0715,8.3,5.7
0.0835,8.3,5.7
0.1,8.4,5.6
0.125,8.5,5.5
0.1665,8.6,5.4
0.25,8.8,5.2
0.5,9.1,4.9
0.55,9.2,4.8
0.625,9.2,4.8
0.715,9.3,4.6
0.835,9.4,4.5
1,9.5,4.4
1.25,9.6,4.4
1.65,9.7,4.3
2.5,9.7,4.3
5,10.1,3.9
10,10.4,3.6
12.5,10.5,3.5
16.65,10.6,3.4
25,10.8,3.2
50,11.1,2.9
100,11.4,2.6
500,12.1,1.9
